country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","12-09-2025 14:00:00",12.9135218,77.5950804,SO2,19,20,19
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","12-09-2025 14:00:00",12.9135218,77.5950804,OZONE,20,21,21
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","12-09-2025 14:00:00",12.951913,77.539784,PM2.5,42,112,65
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","12-09-2025 14:00:00",12.951913,77.539784,OZONE,4,33,13
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","12-09-2025 14:00:00",12.9756843,77.5660749,PM10,86,98,92
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","12-09-2025 14:00:00",13.029152,77.585901,PM10,33,47,41
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","12-09-2025 14:00:00",13.029152,77.585901,NO2,6,18,16
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","12-09-2025 14:00:00",12.938539,77.590100,PM2.5,22,41,32
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","12-09-2025 14:00:00",12.938539,77.590100,NH3,2,2,2
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","12-09-2025 14:00:00",12.938539,77.590100,CO,2,38,15
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","12-09-2025 14:00:00",13.377516,77.099072,OZONE,15,15,15
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","12-09-2025 14:00:00",16.7602,77.1428,PM2.5,14,44,30
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","12-09-2025 14:00:00",10.073232,76.302765,PM2.5,54,99,70
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","12-09-2025 14:00:00",10.073232,76.302765,PM10,48,75,57
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","12-09-2025 14:00:00",10.073232,76.302765,NO2,7,8,8
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","12-09-2025 14:00:00",10.073232,76.302765,SO2,1,1,1
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","12-09-2025 14:00:00",10.073232,76.302765,CO,11,127,83
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","12-09-2025 14:00:00",11.875000,75.373200,NO2,15,17,16
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","12-09-2025 14:00:00",11.875000,75.373200,CO,14,20,14
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","12-09-2025 14:00:00",12.889250,74.853000,PM2.5,26,38,32
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","12-09-2025 14:00:00",12.889250,74.853000,SO2,6,7,6
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","12-09-2025 14:00:00",12.889250,74.853000,OZONE,8,43,27
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","12-09-2025 14:00:00",12.21041,76.37376,NO2,11,36,22
